text,intent
"Tell me the taxi fare to the mall.",fare_inquiry
"How much for a shared jeepney ride?",fare_inquiry
"What's the fare to the hospital?",fare_inquiry
"How much will it cost to reach the market?",fare_inquiry
"How much is the fare for the express bus?",fare_inquiry
"What is the charge for the ferry?",fare_inquiry
"How much is the boat fare to the island?",fare_inquiry
"Tell me how much the ride to town costs.",fare_inquiry
"What's the typical fare to the town square?",fare_inquiry
"How much is the ticket for the early bus?",fare_inquiry
"What's the night fare for the taxi?",fare_inquiry
"How much does a shuttle service cost?",fare_inquiry
"How much is the fare for a bus to the airport?",fare_inquiry
"What's the tricycle rate for a short trip?",fare_inquiry
"How much is the discounted student fare?",fare_inquiry
"How much is the ticket for the last bus?",fare_inquiry
"What's the minimum bus fare?",fare_inquiry
"Tell me the fare for a long-distance bus.",fare_inquiry
"How much will a trip to the harbor cost?",fare_inquiry
"How much for the jeepney to the next town?",fare_inquiry
"How much is the cost of a one-way ride?",fare_inquiry
"Tell me how much the van fare is.",fare_inquiry
"What's the fare for a family of four?",fare_inquiry
"How much is the ride to the next village?",fare_inquiry
"What's the taxi fare during peak hours?",fare_inquiry
"How much is the fare to the theater?",fare_inquiry
"How much is the trip to the train station?",fare_inquiry
"What’s the typical charge for a pedicab?",fare_inquiry
"How much for a quick ride to the hotel?",fare_inquiry
"What's the student discount fare?",fare_inquiry
"How much is the express train ticket?",fare_inquiry
"What's the cost of a shared shuttle?",fare_inquiry
"How much is a one-way boat fare?",fare_inquiry
"Tell me the bus rate to the mall.",fare_inquiry
"What's the jeepney rate for a short trip?",fare_inquiry
"How much will I pay to reach the hospital?",fare_inquiry
"What's the fare for an inter-city bus?",fare_inquiry
"How much for a quick ride to the park?",fare_inquiry
"What's the motorcycle fare to the next town?",fare_inquiry
"How much for a senior discount on the ferry?",fare_inquiry
"How much is the regular taxi fare?",fare_inquiry
"How much is the ticket to the countryside?",fare_inquiry
"What's the cost of the ride to the port?",fare_inquiry
"How much for the taxi to the downtown area?",fare_inquiry
"What's the fare for a cab ride?",fare_inquiry
"Tell me the price for the night bus.",fare_inquiry
"How much for a shared tricycle ride?",fare_inquiry
"How much is the fare to the city?",fare_inquiry
"What's the ticket price for the local train?",fare_inquiry
"How much does a ride to the airport cost?",fare_inquiry
"What's the bus fare to the central station?",fare_inquiry
"How much will I pay for a taxi ride downtown?",fare_inquiry
"What’s the cost of a jeepney ride to the market?",fare_inquiry
"How much is the student fare for the bus?",fare_inquiry
"Tell me the taxi rate to the theater.",fare_inquiry
"What's the fare for a one-way trip to town?",fare_inquiry
"How much for the bus ticket to the zoo?",fare_inquiry
"What's the standard fare for a cab ride?",fare_inquiry
"How much will the shuttle ride cost?",fare_inquiry
"How much for the express ferry ticket?",fare_inquiry
"Tell me the cost of a ride to the temple.",fare_inquiry
"How much is the minimum fare for the bus?",fare_inquiry
"How much for a round trip to the next town?",fare_inquiry
"What's the fare to the park?",fare_inquiry
"How much is the fare to City Hall?",fare_inquiry
"How much does a ride to the mall cost?",fare_inquiry
"What's the charge for the airport shuttle?",fare_inquiry
"How much will a jeepney ride cost?",fare_inquiry
"Tell me the fare for a boat trip.",fare_inquiry
"What's the taxi fare to the university?",fare_inquiry
"How much is the train fare for students?",fare_inquiry
"What's the discounted fare for children?",fare_inquiry
"How much is the cost of a short taxi ride?",fare_inquiry
"Tell me how much the next bus ticket is.",fare_inquiry
"What's the fare for a senior citizen?",fare_inquiry
"How much for the night taxi ride?",fare_inquiry
"How much is the trip to the old town?",fare_inquiry
"What's the price for a van ride to the beach?",fare_inquiry
"How much for the boat fare across the river?",fare_inquiry
"How much will I pay for a quick ride?",fare_inquiry
"How much is the fare to the botanical garden?",fare_inquiry
"Tell me the rate for a shared ride.",fare_inquiry
"How much does the tricycle to the plaza cost?",fare_inquiry
"How much is the train ticket for seniors?",fare_inquiry
"What's the price for a late-night bus?",fare_inquiry
"How much for the ferry to the neighboring island?",fare_inquiry
"How much is the bus fare during peak hours?",fare_inquiry
"What's the fare for a school trip?",fare_inquiry
"Tell me the taxi rate to the museum.",fare_inquiry
"How much is the shared ride cost?",fare_inquiry
"What's the usual fare for a jeepney?",fare_inquiry
"How much does a ride to the library cost?",fare_inquiry
"How much for the shuttle to the next town?",fare_inquiry
"What's the ferry rate to the next village?",fare_inquiry
"How much is the rate for a motorcycle taxi?",fare_inquiry
"What's the cost of the shared bus ride?",fare_inquiry
"Tell me how much for a van trip?",fare_inquiry
"What's the cost of a family ticket?",fare_inquiry
"How much is the one-way fare to the terminal?",fare_inquiry
"What's the minimum cost for a taxi ride?",fare_inquiry
"How much does the shuttle cost at night?",fare_inquiry
"How much for a quick ride to the station?",fare_inquiry
"What's the ticket price for the next ferry?",fare_inquiry
"How much is the tricycle fare for students?",fare_inquiry
"How much is the discounted bus fare?",fare_inquiry
"What's the price for a trip to the hilltop?",fare_inquiry
"Tell me the rate for a taxi ride to the port.",fare_inquiry
"How much is the van fare during holidays?",fare_inquiry
"How much will the express train cost?",fare_inquiry
"What's the cost of a one-way bus ticket?",fare_inquiry
"How much does the local jeepney ride cost?",fare_inquiry
"How much for the bus fare on weekends?",fare_inquiry
"How much for the boat ride across the bay?",fare_inquiry
"Tell me how much the ride to the park is.",fare_inquiry
"How much is the senior rate for the ferry?",fare_inquiry
"How much for the bus trip to the airport?",fare_inquiry
"How much is the taxi to the city outskirts?",fare_inquiry
"What's the price of a shared shuttle ride?",fare_inquiry
"How much does the airport shuttle cost?",fare_inquiry
"What's the minimum fare for a tricycle?",fare_inquiry
"How much is the round trip to the main square?",fare_inquiry
"How much will the taxi ride to the hotel be?",fare_inquiry
"How much does the trip to the museum cost?",fare_inquiry
"Tell me the ticket price for the last ferry.",fare_inquiry
"What's the rate for a ride to the beach?",fare_inquiry
"How much is the cost of a cab ride?",fare_inquiry
"How much is the jeepney rate for seniors?",fare_inquiry
"How much will the train ride cost?",fare_inquiry
"Tell me the price for a shared cab.",fare_inquiry
"How much is the ride to the pier?",fare_inquiry
"How much does a bus ride for children cost?",fare_inquiry
"How much will the fare be for the morning ride?",fare_inquiry
"What's the cost of the express ferry trip?",fare_inquiry
"How much for a student ticket on the shuttle?",fare_inquiry
"Tell me the bus fare to the town center.",fare_inquiry
"What's the rate for a night train ticket?",fare_inquiry
"Can you tell me the fare for the jeepney?",fare_inquiry
"How much does a bus ride cost to the city?",fare_inquiry
"What’s the fare for the train to the next stop?",fare_inquiry
"Tell me the price of a ferry ride.",fare_inquiry
"How much for the airport taxi service?",fare_inquiry
"How much will I pay for a bus ride downtown?",fare_inquiry
"What's the cost of a ride to the old market?",fare_inquiry
"Can you tell me how much a shuttle ride is?",fare_inquiry
"How much is the price for the metro?",fare_inquiry
"How much for the train ticket to the station?",fare_inquiry
"How much will it cost to take the tram?",fare_inquiry
"How much for a quick taxi to the pier?",fare_inquiry
"What's the fare for the next ferry trip?",fare_inquiry
"How much is the night bus fare?",fare_inquiry
"How much is the cost for a school bus ride?",fare_inquiry
"Tell me the rate for the boat trip.",fare_inquiry
"How much for a cab to the train station?",fare_inquiry
"What's the rate for the night ferry?",fare_inquiry
"How much does the tram fare cost?",fare_inquiry
"Tell me how much a shuttle ride costs.",fare_inquiry
"What's the cost of the express bus?",fare_inquiry
"How much is the van fare to the next city?",fare_inquiry
"What's the rate for the early morning ferry?",fare_inquiry
"How much does the evening train ticket cost?",fare_inquiry
"How much is the one-way trip to the beach?",fare_inquiry
"What's the price of a children’s bus ticket?",fare_inquiry
"Tell me how much the senior discount is.",fare_inquiry
"How much does the shared ride van cost?",fare_inquiry
"What's the taxi fare for the downtown trip?",fare_inquiry
"How much will a jeepney to the mall be?",fare_inquiry
"What's the cost for the morning express train?",fare_inquiry
"How much for a boat ride across the river?",fare_inquiry
"How much is the train fare to the stadium?",fare_inquiry
"How much is the bus ride for students?",fare_inquiry
"What's the minimum fare for a cab?",fare_inquiry
"Tell me how much a night taxi costs.",fare_inquiry
"How much is the trip to the shopping district?",fare_inquiry
"What's the price for a taxi to the library?",fare_inquiry
"How much does the ferry charge for kids?",fare_inquiry
"How much for the van to the cultural center?",fare_inquiry
"What's the regular fare for a tricycle?",fare_inquiry
"Tell me the shuttle fare for a single trip.",fare_inquiry
"How much is the price of a student pass?",fare_inquiry
"What's the price for a senior on the bus?",fare_inquiry
"How much for a ticket to the island?",fare_inquiry
"How much will the airport ride cost?",fare_inquiry
"How much is the cost for a cab at night?",fare_inquiry
"How much is the ferry ticket during the weekend?",fare_inquiry
"What's the fare for the tourist shuttle?",fare_inquiry
"Tell me the taxi price for an hour trip.",fare_inquiry
"How much does the weekend bus fare cost?",fare_inquiry
"What's the price for a child on the shuttle?",fare_inquiry
"How much is the taxi to the theater?",fare_inquiry
"How much does a quick ride to the pier cost?",fare_inquiry
"How much is the one-way bus fare downtown?",fare_inquiry
"Tell me how much the metro ride is.",fare_inquiry
"What's the van fare to the village?",fare_inquiry
"How much will a ticket to the city center cost?",fare_inquiry
"What's the fare for the ferry ride?",fare_inquiry
"How much is the fare for the airport train?",fare_inquiry
"How much will the bus ride be?",fare_inquiry
"How much is the express van to the harbor?",fare_inquiry
"What's the regular price for the shuttle?",fare_inquiry
"How much is the senior fare for the ferry?",fare_inquiry
"Tell me the cost of a quick boat ride.",fare_inquiry
"What's the fare for the night bus service?",fare_inquiry
"How much will I pay for a taxi to the square?",fare_inquiry
"How much is the metro ticket during peak hours?",fare_inquiry
"How much is the cost for a ferry trip?",fare_inquiry
"What's the ticket price for a tricycle ride?",fare_inquiry
"How much is a ticket for the morning bus?",fare_inquiry
"How much does the library shuttle fare cost?",fare_inquiry
"Tell me the rate for a night-time ferry.",fare_inquiry
"How much is the van ride to the hospital?",fare_inquiry
"How much is the discounted train fare?",fare_inquiry
"What's the rate for a bus to the college?",fare_inquiry
"Tell me how much a quick van ride is.",fare_inquiry
"How much does the airport ferry ticket cost?",fare_inquiry
"How much will a round trip cost?",fare_inquiry
"What's the fare for the next express bus?",fare_inquiry
"Tell me the cost of the express train.",fare_inquiry
"How much is the cost for a morning van ride?",fare_inquiry
"How much will the shared ride cost me?",fare_inquiry
"How much does the city shuttle cost?",fare_inquiry
"What's the price for the early ferry ride?",fare_inquiry
"How much is the price for a student bus ticket?",fare_inquiry
"How much is the metro fare at noon?",fare_inquiry
"What's the regular cost for the tram?",fare_inquiry
"Tell me the fare for a round trip ticket.",fare_inquiry
"How much is the bus ticket to the mall?",fare_inquiry
"How much does a train ride to the suburbs cost?",fare_inquiry  
"Tell me the price of a ferry ticket to the island.",fare_inquiry  
"What is the cost of taking a shuttle van?",fare_inquiry  
"How much do I need to pay for a first-class train ticket?",fare_inquiry  
"What’s the fare for a shared taxi?",fare_inquiry  
"Is there a special rate for disabled passengers?",fare_inquiry  
"How much does a cross-border bus ticket cost?",fare_inquiry  
"Tell me the fare for a high-speed rail journey.",fare_inquiry  
"Do I need to pay extra for a reserved seat on the train?",fare_inquiry  
"What’s the price of a one-day public transport pass?",fare_inquiry  
"How much does a rental e-scooter charge per minute?",fare_inquiry  
"Is there a fare difference between weekdays and weekends?",fare_inquiry  
"How much do I need to pay for a city tour bus?",fare_inquiry  
"What is the rate for a short-distance pedicab ride?",fare_inquiry  
"Tell me the fare for a night bus service.",fare_inquiry  
"How much is a ticket for the local ferry service?",fare_inquiry  
"What’s the cost of a premium bus ride?",fare_inquiry  
"Is there a charge for carrying bicycles on public transport?",fare_inquiry  
"How much is a VIP train compartment?",fare_inquiry  
"Tell me the cost of using a ride-hailing service.",fare_inquiry  
"What’s the fare for a double-decker bus ride?",fare_inquiry  
"How much does a tram ticket cost for students?",fare_inquiry  
"Tell me the price of an airport express train.",fare_inquiry  
"How much do I need to pay for an inter-island ferry?",fare_inquiry  
"What is the fare for a private car hire with a driver?",fare_inquiry  
"Do taxis charge an additional fee for late-night rides?",fare_inquiry  
"Tell me the cost of a long-haul sleeper bus.",fare_inquiry  
"How much does a one-week metro pass cost?",fare_inquiry  
"What’s the price of a one-time boat ride?",fare_inquiry  
"Is there a special fare for large tour groups?",fare_inquiry  
"Tell me the cost of a high-speed ferry service.",fare_inquiry  
"How much do I need to pay for a bullet train ticket?",fare_inquiry  
"What’s the fare for a tourist tram?",fare_inquiry  
"Is there a discount for early morning bus rides?",fare_inquiry  
"How much does a park-and-ride shuttle cost?",fare_inquiry  
"Tell me the price of a prepaid transport card.",fare_inquiry  
"What is the standard rate for a tuk-tuk ride?",fare_inquiry  
"How much does a monorail ride cost?",fare_inquiry  
"What’s the fare for an airport limousine bus?",fare_inquiry  
"How much is a ticket for the intercity express bus?",fare_inquiry  
"Is there a weekend special fare for the train?",fare_inquiry  
"Tell me the cost of a monthly transport subscription.",fare_inquiry  
"How much do I need to pay for a luxury bus ride?",fare_inquiry  
"What is the charge for excess baggage on the bus?",fare_inquiry  
"How much does a gondola ride cost in the city?",fare_inquiry  
"Tell me the fare for an all-day metro ticket.",fare_inquiry  
"What’s the price of a senior citizen’s bus fare?",fare_inquiry  
"Is there a different fare for standing and seated passengers?",fare_inquiry  
"How much does a cable car ride cost at peak hours?",fare_inquiry  
"Tell me the fare for a private boat transfer.",fare_inquiry  
"What’s the cost of an overnight train journey?",fare_inquiry  
"Is there a fee for using contactless payments on buses?",fare_inquiry  
"How much does a ticket for a highland train route cost?",fare_inquiry  
"Tell me the price of a commuter rail ticket.",fare_inquiry  
"How much is the additional charge for first-class seating?",fare_inquiry  
"What’s the cost of a round-trip tram ride?",fare_inquiry  
"How much do I need to pay for a hop-on-hop-off tour?",fare_inquiry  
"What is the fare for an autonomous shuttle?",fare_inquiry  
"Tell me the cost of a sightseeing ferry cruise.",fare_inquiry  
"How much is a discounted group metro pass?",fare_inquiry  
"What’s the price for a horse-drawn carriage ride?",fare_inquiry  
"Is there an off-peak fare for buses?",fare_inquiry  
"How much does a funicular railway ticket cost?",fare_inquiry  
"Tell me the fare for a water taxi ride.",fare_inquiry  
"How much is the extra fee for large luggage on the train?",fare_inquiry  
"What’s the cost of a shuttle bus from the airport?",fare_inquiry  
"Is there a special rate for young travelers?",fare_inquiry  
"Tell me the price of a cross-town tram ride.",fare_inquiry  
"How much does a neighborhood circulator bus charge?",fare_inquiry  
"What is the cost of a door-to-door shared ride service?",fare_inquiry  
"How much do I need to pay for a hovercraft ride?",fare_inquiry  
"Tell me the fare for a heritage train experience.",fare_inquiry  
"What’s the charge for overnight car parking at the station?",fare_inquiry  
"How much does a tourist transport package cost?",fare_inquiry  
"What’s the fare for a fixed-route minibus?",fare_inquiry  
"Is there a weekend fare cap for unlimited rides?",fare_inquiry  
"How much does a self-driving shuttle cost per trip?",fare_inquiry  
"Tell me the cost of a VIP taxi service.",fare_inquiry  
"What’s the price of an economy-class bus ticket?",fare_inquiry  
"Is there a flat fee for all public transport rides?",fare_inquiry  
"How much is the peak-hour charge for taxis?",fare_inquiry  
"Tell me the fare for a railway sleeper cabin.",fare_inquiry  
"What is the surcharge for late-night metro services?",fare_inquiry  
"How much does a ferry ticket cost with a bike included?",fare_inquiry  
"Tell me the price of a limited-stop bus ride.",fare_inquiry  
"How much do I need to pay for a scenic tram ride?",fare_inquiry  
"What’s the cost of an airport train express pass?",fare_inquiry  
"Is there a cheaper fare option for families?",fare_inquiry  
"Tell me the fare for an eco-friendly electric taxi.",fare_inquiry  
"How much does an all-inclusive transport card cost?",fare_inquiry  
"How much does a bicycle-sharing program cost per ride?",fare_inquiry  
"What is the fare for a light rail journey?",fare_inquiry  
"How much does a one-day travel pass for all zones cost?",fare_inquiry  
"Is there a reduced fare for students taking the metro?",fare_inquiry  
"How much does a night tram ticket cost?",fare_inquiry  
"What’s the price for an express shuttle from the train station?",fare_inquiry  
"Is there a higher fare for express bus services?",fare_inquiry  
"How much is the additional charge for pets on public transport?",fare_inquiry  
"What’s the fare for a VIP airport shuttle?",fare_inquiry  
"Tell me the price of a tourist metro card.",fare_inquiry  
"How much is the regular jeepney fare?",fare_inquiry  
"What is the discounted fare for students on jeepneys?",fare_inquiry  
"How much do senior citizens pay for a jeepney ride?",fare_inquiry  
"Is there a special fare for PWD passengers on jeepneys?",fare_inquiry  
"How much does it cost to take a jeepney from the city center to the mall?",fare_inquiry  
"What is the fare from the terminal to the university?",fare_inquiry  
"Tell me the price for a jeepney ride from downtown to the airport.",fare_inquiry  
"Is there an extra charge for luggage on a jeepney?",fare_inquiry  
"What is the minimum jeepney fare for short distances?",fare_inquiry  
"How much do I need to pay for a jeepney ride covering two zones?",fare_inquiry  
"Does the jeepney fare increase during rush hours?",fare_inquiry  
"How much does it cost to ride a jeepney from point A to point B?",fare_inquiry  
"Is there a fixed fare for all jeepney routes?",fare_inquiry  
"What is the additional charge if I ride past the base fare distance?",fare_inquiry  
"How do I calculate the fare if I’m traveling 10 kilometers by jeepney?",fare_inquiry  
"Are jeepney fares the same on weekends and weekdays?",fare_inquiry  
"How much is the jeepney fare for children below 5 years old?",fare_inquiry  
"What is the standard fare for public utility jeepneys?",fare_inquiry  
"Is the fare higher for express jeepney services?",fare_inquiry  
"How much should I pay if I get off before the next fare zone?",fare_inquiry  
"Do jeepney fares change during holidays?",fare_inquiry  
"What’s the price of a ride on a modern jeepney?",fare_inquiry  
"How much does an air-conditioned jeepney charge per ride?",fare_inquiry  
"Is there a different fare for provincial jeepneys?",fare_inquiry  
"How much do I pay for a jeepney ride from the market to the hospital?",fare_inquiry  
"Tell me the cost of a jeepney ride from the terminal to the bus station.",fare_inquiry  
"What is the fare adjustment for fuel price hikes?",fare_inquiry  
"Do students get a fare discount on weekends?",fare_inquiry  
"How much is the fare if I ride a jeepney after midnight?",fare_inquiry  
"Is there a surcharge for long-distance jeepney routes?",fare_inquiry  
"How much is the student fare discount during school days?",fare_inquiry  
"Do senior citizens need an ID to avail of the fare discount?",fare_inquiry  
"What is the jeepney fare for a 15-kilometer ride?",fare_inquiry  
"Tell me the rate for an intercity jeepney ride.",fare_inquiry  
"How much do I pay if I transfer from one jeepney to another?",fare_inquiry  
"Are fares different for diesel and electric jeepneys?",fare_inquiry  
"What is the updated fare for traditional jeepneys?",fare_inquiry  
"Do fare discounts apply to all jeepney operators?",fare_inquiry  
"How much is the minimum fare for a non-airconditioned jeepney?",fare_inquiry  
"Tell me the cost of taking a jeepney to the ferry terminal.",fare_inquiry  
"Do I need to pay extra if I ride with large bags?",fare_inquiry  
"How much does a night jeepney route charge?",fare_inquiry  
"What’s the maximum fare I can expect for the longest route?",fare_inquiry  
"How much is the fare for a tourist jeepney?",fare_inquiry  
"Do I pay extra if I get off at a non-designated stop?",fare_inquiry  
"Is there a different fare for chartered jeepneys?",fare_inquiry  
"How much does a special trip jeepney charge?",fare_inquiry  
"Tell me the cost of a one-way ride on a public jeepney.",fare_inquiry  
"How much does it cost to ride a jeepney from the city to the province?",fare_inquiry  
"What is the fare for a direct trip with no stopovers?",fare_inquiry  
"Do fare discounts apply during summer breaks?",fare_inquiry  
"How much should I pay if I ride standing up?",fare_inquiry  
"Is there a penalty for not paying the correct fare?",fare_inquiry  
"What’s the charge for carrying pets on a jeepney?",fare_inquiry  
"How much does a full-loop jeepney ride cost?",fare_inquiry  
"Are there discounts for bulk fare payments?",fare_inquiry  
"Do I pay more if I take a modernized jeepney?",fare_inquiry  
"How much is the additional fare for special events?",fare_inquiry  
"Are fares different for city and barangay jeepneys?",fare_inquiry  
"What’s the rate for a fare-sharing jeepney ride?",fare_inquiry  
"Do I need exact change for jeepney fare payments?",fare_inquiry  
"How much does a single-zone jeepney trip cost?",fare_inquiry  
"Is the fare the same for all passengers regardless of age?",fare_inquiry  
"How much does a student ID discount reduce the fare?",fare_inquiry  
"What’s the base fare for the shortest jeepney ride?",fare_inquiry  
"Do pregnant women qualify for fare discounts?",fare_inquiry  
"Tell me the fare for a jeepney ride during peak hours.",fare_inquiry  
"How much do I pay if I ride a jeepney during off-peak hours?",fare_inquiry  
"Is there a fare hike scheduled for this year?",fare_inquiry  
"Do jeepneys have seasonal fare discounts?",fare_inquiry  
"Tell me the cost of a jeepney ride if I have no ID for a discount.",fare_inquiry  
"What’s the price of a weekly jeepney pass?",fare_inquiry  
"How much does a cross-border jeepney ride cost?",fare_inquiry  
"Are there discounts for military personnel riding jeepneys?",fare_inquiry  
"What is the maximum distance covered by the base fare?",fare_inquiry  
"How much should I prepare for a ride to the nearest mall?",fare_inquiry  
"Do electric jeepneys have the same fare as traditional ones?",fare_inquiry  
"What’s the cost of an early morning jeepney ride?",fare_inquiry  
"Do university students need to show ID for discounted fares?",fare_inquiry  
"How much does a direct route jeepney fare cost?",fare_inquiry  
"What’s the extra charge for passengers with wheelchairs?",fare_inquiry  
"Do I pay different fares depending on the jeepney’s seating?",fare_inquiry  
"How much does it cost to rent a jeepney for private trips?",fare_inquiry  
"Tell me the rate for a group discount on a jeepney ride.",fare_inquiry  
"How much should I pay if I want a one-day unlimited jeepney pass?",fare_inquiry  
"Do I get a discount if I ride the jeepney every day?",fare_inquiry  
"How much is the surcharge for rainy day jeepney rides?",fare_inquiry  
"Tell me the fare for a route with multiple stops.",fare_inquiry  
"Are fares different for short-haul and long-haul jeepneys?",fare_inquiry  
"How much does a fare adjustment affect my daily commute?",fare_inquiry  
"Is there a government-mandated cap on jeepney fares?",fare_inquiry  
"How much should I budget for a month of daily jeepney rides?",fare_inquiry  
"What is the penalty for non-payment of the jeepney fare?",fare_inquiry  
"Tell me the cost of an express jeepney ride.",fare_inquiry  
"What’s the special fare for events like festivals?",fare_inquiry  
"Do students get a discount on all jeepney routes?",fare_inquiry  
"How much does the city’s public fare regulation affect jeepneys?",fare_inquiry  
"Is the fare standard across all jeepney franchises?",fare_inquiry  
"Tell me the cost of a ride from the jeepney terminal to the main road.",fare_inquiry  
"How much is the jeepney fare from Daraga to Legazpi City?",fare_inquiry  
"What's the fare from Legazpi Grand Terminal to Embarcadero?",fare_inquiry  
"Tell me the cost of a jeepney ride from LCC Mall to Pacific Mall.",fare_inquiry  
"How much do I pay if I take a jeepney from Legazpi City to Daraga Church?",fare_inquiry  
"What is the student fare for a jeepney ride in Legazpi?",fare_inquiry  
"Is there a senior citizen discount for jeepney fares in Legazpi?",fare_inquiry  
"How much is the fare from Legazpi Airport to the downtown area?",fare_inquiry  
"Do PWDs get fare discounts on Legazpi jeepneys?",fare_inquiry  
"What's the cost of a jeepney ride from Bicol University to SM Legazpi?",fare_inquiry  
"How much do I need to pay for a trip from Legazpi City to Albay Cathedral?",fare_inquiry  
"What's the regular fare for a jeepney ride from Legazpi Terminal to Rawis?",fare_inquiry  
"How much does a ride from Legazpi Port District to Daraga cost?",fare_inquiry  
"Do I pay extra if I bring luggage on a jeepney in Legazpi?",fare_inquiry  
"Is there a different fare for modern jeepneys in Legazpi?",fare_inquiry  
"How much is the minimum jeepney fare in Legazpi?",fare_inquiry  
"Tell me the cost of a jeepney ride from Legazpi to Tabaco.",fare_inquiry  
"Are fares the same for all routes within Legazpi City?",fare_inquiry  
"How much is the fare for a jeepney from Legazpi Terminal to Legazpi Boulevard?",fare_inquiry  
"What's the fare for a ride from Legazpi City Hall to Penaranda Park?",fare_inquiry  
"How much should I prepare for a trip from Legazpi City to Bacacay?",fare_inquiry  
"Are there different fare rates for short and long jeepney rides in Legazpi?",fare_inquiry  
"How much is the fare for a ride from Legazpi to Sorsogon?",fare_inquiry  
"Does the jeepney fare change during peak hours in Legazpi?",fare_inquiry  
"Tell me the cost of a trip from the university belt to SM Legazpi.",fare_inquiry  
"Do jeepneys in Legazpi charge extra for night trips?",fare_inquiry  
"How much is the fare from Legazpi City to Ligao?",fare_inquiry  
"Are jeepney fares different on Sundays in Legazpi?",fare_inquiry  
"How much is the fare from Legazpi Grand Terminal to Washington Drive?",fare_inquiry  
"What’s the updated fare for jeepneys in Legazpi this year?",fare_inquiry  
"How much do students pay for a ride from Daraga to BU?",fare_inquiry  
"Is the jeepney fare from Legazpi City to Cagsawa different from regular fares?",fare_inquiry  
"How much is the discount for senior citizens taking jeepneys in Legazpi?",fare_inquiry  
"Tell me the jeepney fare from Legazpi to Camalig.",fare_inquiry  
"How much do I pay if I take a jeepney from Legazpi City to Guinobatan?",fare_inquiry  
"Are fares higher for modernized jeepneys in Legazpi?",fare_inquiry  
"How much is the fare from Legazpi to Bacacay?",fare_inquiry  
"What's the cheapest way to get around Legazpi using jeepneys?",fare_inquiry  
"How much should I pay if I ride a jeepney from Legazpi to Sto. Domingo?",fare_inquiry  
"Are there fare increases during typhoon season in Legazpi?",fare_inquiry  
"Tell me the fare from Legazpi Terminal to the Sleeping Lion Hill.",fare_inquiry  
"How much is the fare from Albay Astrodome to Penaranda Park?",fare_inquiry  
"Is the fare higher for express jeepneys in Legazpi?",fare_inquiry  
"What's the standard jeepney fare in Albay?",fare_inquiry  
"How much do I pay if I ride from Legazpi Boulevard to the Legazpi Port?",fare_inquiry  
"Is there an extra charge for stopping at non-designated areas in Legazpi?",fare_inquiry  
"How much is the fare from SM Legazpi to the Southern Luzon Technological College?",fare_inquiry  
"Do Legazpi jeepneys offer fare discounts to indigent individuals?",fare_inquiry  
"How much is the fare from Daraga Market to Legazpi Bus Terminal?",fare_inquiry  
"Tell me the cost of a jeepney ride from Legazpi to Manito.",fare_inquiry  
"Do fare discounts apply during fiesta season in Legazpi?",fare_inquiry  
"How much does it cost to take a jeepney from Legazpi to Pilar?",fare_inquiry  
"How much should I prepare for a trip from Legazpi to Tiwi?",fare_inquiry  
"How much is the fare for a ride from Legazpi City to Bacacay Beach?",fare_inquiry  
"Are Legazpi’s modern jeepney fares higher than traditional ones?",fare_inquiry  
"Do university students in Legazpi get a fare discount every day?",fare_inquiry  
"Tell me the fare from Daraga to Legazpi Airport.",fare_inquiry  
