How much is the express train ticket?,O O O O B-TRANSPORT B-TRANSPORT B-FARE,
What's the cost of a shared shuttle?,O O O B-FARE O O B-TRANSPORT B-TRANSPORT ,
How much is a one-way boat fare?,O O O O B-TRANSPORT I-TRANSPORT  B-FARE,
Tell me the bus rate to the mall.,O O O B-TRANSPORT B-FARE O O B-DESTINATION,
What's the jeepney rate for a short trip?,O O O B-TRANSPORT B-FARE O O  B-ACTIVITY I-ACTIVITY,
How much will I pay to reach the hospital?,O O O O B-FARE O O O B-DESTINATION,
What's the fare for an inter-city bus?,O O O B-FARE O O B-TRANSPORT I-TRANSPORT,
How much for a quick ride to the park?,O O O O O O O B-DESTINATION O,
What's the motorcycle fare to the next town?,O O O B-TRANSPORT B-FARE O O O B-DESTINATION,
How much for a senior discount on the ferry?,O O O O B-COMMUTER B-DISCOUNT O O B-TRANSPORT,
How much is the regular taxi fare?,O O O O O B-TRANSPORT B-FARE,
How much is the ticket to the countryside?,O O O O B-FARE O O B-DESTINATION,
What's the cost of the ride to the port?,O O O B-FARE O O B-ACTIVITY O O B-DESTINATION,
What's the fare for a cab ride?,O O B-FARE O O B-TRANSPORT O O,
Tell me the price for the night bus.,O O O B-FARE O O B-TIME B-TRANSPORT,
How much for a shared tricycle ride?,O O O O O B-TRANSPORT I-TRANSPORT,
What's the bus fare to the central station?,O O O B-TRANSPORT B-FARE O O B-DESTINATION I-DESTINATION,
How much will I pay for a taxi ride downtown?,O O O O B-FARE O O B-TRANSPORT I-TRANSPORT B-DESTINATION,
what's the cost of a jeepney ride to the market?,O O O B-FARE O O B-TRANSPORT I-TRANSPORT O O B-DESTINATION,
Tell me the taxi rate to the theater.,O O O B-TRANSPORT B-FARE O O B-DESTINATION,
What's the fare for a one-way trip to town?,O O O B-FARE O O B-ROUTE I-ROUTE O B-DESTINATION,
How much for the bus ticket to the zoo?,O O O O B-FARE I-FARE O O B-DESTINATION,
How much will the shuttle ride cost?,O O O O B-TRANSPORT I-TRANSPORT B-FARE,
Tell me the cost of a ride to the temple.,O O O B-FARE O O O O O B-DESTINATION,
How much for a round trip to the next town?,O O O O B-ROUTE I-ROUTE O O O B-DESTINATION,
How much does a ride to the mall cost?,O O O O O O O B-DESTINATION B-FARE,
What's the charge for the airport shuttle?,O O O B-FARE O O B-DESTINATION B-TRANSPORT,
How much will a jeepney ride cost?,O O O O B-TRANSPORT O B-FARE,
Tell me the fare for a boat trip.,O O O B-FARE O O B-TRANSPORT I-ACTIVITY,
How much is the train fare for students?,O O O O B-TRANSPORT B-FARE O B-COMMUTER,
What's the fare for a senior citizen?,O O O B-FARE O O B-COMMUTER I-COMMUTER,
How much for the boat fare across the river?,O O O O B-TRANSPORT B-FARE O O B-DESTINATION,
How much is the fare to the botanical garden?,O O O O B-FARE O O B-DESTINATION I-DESTINATION,
Tell me the rate for a shared ride.,O O O B-FARE O O O O,
How much does the tricycle to the plaza cost?,O O O O B-TRANSPORT O O B-DESTINATION B-FARE,
What's the price for a late-night bus?,O O O B-FARE O O B-TIME I-TRANSPORT,
How much for the ferry to the neighboring island?,O O O O B-TRANSPORT O O B-DESTINATION I-DESTINATION,
What's the fare for a school trip?,O O O B-FARE O O B-LOCATION I-ACTIVITY,
Tell me the taxi rate to the museum.,O O O B-TRANSPORT B-FARE O O B-DESTINATION,
How much does a ride to the library cost?,O O O O O O O B-DESTINATION B-FARE,
How much for the shuttle to the next town?,O O O O B-TRANSPORT O O O B-DESTINATION,
What's the ferry rate to the next village?,O O O B-TRANSPORT B-FARE O O O B-DESTINATION,
Tell me how much for a van trip?,O O O O O O B-TRANSPORT O,
What's the cost of a family ticket?,O O O B-FARE O O B-COMMUTER O,
How much is the one-way fare to the terminal?,O O O O O B-FARE O O B-DESTINATION,
What's the minimum cost for a taxi ride?,O O O B-FARE I-FARE O O B-TRANSPORT I-TRANSPORT,
How much for a quick ride to the station?,O O O O B-TIME B-ACTIVITY O O B-DESTINATION,
How much is the tricycle fare for students?,O O O O B-TRANSPORT B-FARE O B-COMMUTER,
What's the price for a trip to the hilltop?,O O O B-FARE O O B-ACTIVITY O O B-DESTINATION,
Tell me the rate for a taxi ride to the port.,O O O B-FARE O O B-TRANSPORT I-TRANSPORT O O B-DESTINATION,
How much is the van fare during holidays?,O O O O B-TRANSPORT B-FARE O O,
How much is the round trip to the main square?,O O O O B-ROUTE I-ROUTE O O B-DESTINATION I-DESTINATION,
How much does the trip to the museum cost?,O O O O O O O B-DESTINATION B-FARE,
Tell me the ticket price for the last ferry.,O O O B-FARE I-FARE O O O B-TRANSPORT,
What's the rate for a ride to the beach?,O O O B-FARE O O B-ACTIVITY O O B-DESTINATION,
How much is the jeepney rate for seniors?,O O O O B-TRANSPORT B-FARE O B-COMMUTER,
Tell me the price for a shared cab.,O O O B-FARE O O B-TRANSPORT I-TRANSPORT,
What's the cost of the express ferry trip?,O O O B-FARE O O B-TRANSPORT I-TRANSPORT I-TRANSPORT,
Tell me the bus fare to the town center.,O O O B-TRANSPORT B-FARE O O B-DESTINATION I-DESTINATION,
Can you tell me the fare for the jeepney?,O O O O O B-FARE O O B-TRANSPORT,
Tell me the price of a ferry ride.,O O O B-FARE O O B-TRANSPORT O,
Can you tell me how much a shuttle ride is?,O O O O O O O B-TRANSPORT O O,
How much is the price for the metro?,O O O O B-FARE O O B-TRANSPORT,
How much for the train ticket to the station?,O O O O B-TRANSPORT B-FARE O O B-DESTINATION,
How much will it cost to take the tram?,O O O O B-FARE O O O B-TRANSPORT,
How much for a quick taxi to the pier?,O O O O O B-TRANSPORT O O B-DESTINATION,
How much is the cost for a school bus ride?,O O O O B-FARE O O O B-TRANSPORT I-TRANSPORT,
How much for a cab to the train station?,O O O O B-TRANSPORT O O B-DESTINATION I-DESTINATION,
What's the cost of the express bus?,O O O B-FARE O O B-TRANSPORT I-TRANSPORT,
What's the rate for the early morning ferry?,O O O B-FARE O O B-TIME I-TIME B-TRANSPORT,
What's the price of a children's bus ticket?,O O O B-FARE O O B-COMMUTER O B-TRANSPORT I-TRANSPORT,
Tell me how much the senior discount is.,O O O O O B-COMMUTER B-DISCOUNT O,
How much does the shared ride van cost?,O O O O B-TRANSPORT I-TRANSPORT I-TRANSPORT B-FARE,
How much will a jeepney to the mall be?,O O O O B-TRANSPORT O O B-DESTINATION O,
How much is the trip to the shopping district?,O O O O O O O B-DESTINATION I-DESTINATION,
What's the price for a taxi to the library?,O O O B-FARE O O B-TRANSPORT O O B-DESTINATION,
How much does the ferry charge for kids?,O O O O B-TRANSPORT B-FARE O B-COMMUTER,
How much for the van to the cultural center?,O O O O B-TRANSPORT O O B-DESTINATION I-DESTINATION,
Tell me the shuttle fare for a single trip.,O O O B-TRANSPORT B-FARE O O O O,
How much is the price of a student pass?,O O O O B-FARE O O B-COMMUTER O,
What's the price for a senior on the bus?,O O O B-FARE O O B-COMMUTER O O B-TRANSPORT,
How much for a ticket to the island?,O O O O B-FARE O O B-DESTINATION,
How much is the cost for a cab at night?,O O O O B-FARE O O B-TRANSPORT O O,
What's the fare for the tourist shuttle?,O O O B-FARE O O B-TRANSPORT I-TRANSPORT,
Tell me the taxi price for an hour trip.,O O O B-TRANSPORT B-FARE O O O O,
What's the price for a child on the shuttle?,O O O B-FARE O O B-COMMUTER O O B-TRANSPORT,
How much will a ticket to the city center cost?,O O O O B-FARE O O B-DESTINATION I-DESTINATION B-FARE,
How much will the bus ride be?,O O O O B-TRANSPORT O O,
How much is the express van to the harbor?,O O O O B-TRANSPORT I-TRANSPORT O O B-DESTINATION,
What's the regular price for the shuttle?,O O O O B-FARE O O B-TRANSPORT,
Tell me the cost of a quick boat ride.,O O O B-FARE O O O B-TRANSPORT O,
How much is the metro ticket during peak hours?,O O O O O B-FARE O B-TIME I-TIME,
What's the ticket price for a tricycle ride?,O O O B-FARE I-FARE O O B-TRANSPORT B-ACTIVITY,
How much does the library shuttle fare cost?,O O O O B-TRANSPORT I-TRANSPORT B-FARE I-FARE,
Tell me the rate for a night-time ferry.,O O O B-FARE O O B-TIME B-TRANSPORT,
How much is the van ride to the hospital?,O O O O B-TRANSPORT I-TRANSPORT O O B-DESTINATION,
What's the rate for a bus to the college?,O O O B-FARE O O B-TRANSPORT O O B-DESTINATION,
Tell me how much a quick van ride is.,O O O O O O B-TRANSPORT O O,
How much will a round trip cost?,O O O O O B-ACTIVITY B-FARE,
Tell me the cost of the express train.,O O O B-FARE O O B-TRANSPORT I-TRANSPORT,
How much is the cost for a morning van ride?,O O O O B-FARE O O B-TIME B-TRANSPORT O,
What's the regular cost for the tram?,O O O O B-FARE O O O,
Tell me the fare for a round trip ticket.,O O O B-FARE O O O O B-FARE,
How much is the bus ticket to the mall?,O O O O B-TRANSPORT B-FARE O O B-DESTINATION,
What is the cost of taking a shuttle van?,O O O B-FARE O O O B-TRANSPORT I-TRANSPORT,
Is there a special rate for disabled passengers?,O O O O B-FARE O B-COMMUTER I-COMMUTER,
How much does a cross-border bus ticket cost?,O O O O O B-TRANSPORT B-FARE B-FARE,
Tell me the fare for a high-speed rail journey.,O O O B-FARE O O O O O,
Do I need to pay extra for a reserved seat on the train?,O O O O B-FARE O O O O O O O B-TRANSPORT,
what's the price of a one-day public transport pass?,O O O B-FARE O O O O O O ,
How much does a rental e-scooter charge per minute?,O O O O B-TRANSPORT I-TRANSPORT I-TRANSPORT B-TIME I-TIME,
Is there a fare difference between weekdays and weekends?,O O O B-FARE O O B-TIME O B-TIME,
What is the rate for a short-distance pedicab ride?,O O O B-FARE O O O B-TRANSPORT O,
How much is a ticket for the local ferry service?,O O O O B-FARE O O O B-TRANSPORT I-TRANSPORT,
Is there a charge for carrying bicycles on public transport?,O O O B-FARE O O B-TRANSPORT O O B-TRANSPORT,
How much is the regular jeepney fare?,O O O O O B-TRANSPORT B-FARE,
What is the discounted fare for students on jeepneys?,O O O B-DISCOUNT B-FARE O B-COMMUTER O B-TRANSPORT,
How much do senior citizens pay for a jeepney ride?,O O O B-COMMUTER I-COMMUTER B-FARE O O B-TRANSPORT O,
Is there a special fare for PWD passengers on jeepneys?,O O O O B-FARE O B-COMMUTER O O B-TRANSPORT,
How much does it cost to take a jeepney from the city center to the mall?,O O O O B-FARE O O O B-TRANSPORT O O B-ORIGIN I-ORIGIN O O B-DESTINATION,
What is the fare from the terminal to the university?,O O O B-FARE O O B-ORIGIN O O B-DESTINATION,
Tell me the price for a jeepney ride from downtown to the airport.,O O O B-FARE O O B-TRANSPORT I-TRANSPORT O B-ORIGIN O O B-DESTINATION,
Is there an extra charge for luggage on a jeepney?,O O O B-FARE I-FARE O O O O B-TRANSPORT,
What is the minimum jeepney fare for short distances?,O O O O B-TRANSPORT B-FARE O O O,
How much do I need to pay for a jeepney ride covering two zones?,O O O O O O B-FARE O O B-TRANSPORT O O O O,
Does the jeepney fare increase during rush hours?,O O B-TRANSPORT B-FARE O O B-TIME I-TIME,
How much does it cost to ride a jeepney from point A to point B?,O O O O B-FARE O O O B-TRANSPORT O O O O O O,
Is there a fixed fare for all jeepney routes?,O O O O B-FARE O O B-TRANSPORT O,
How do I calculate the fare if I'm traveling 10 kilometers by jeepney?,O O O O O B-FARE O O O O O O B-TRANSPORT,
Are jeepney fares the same on weekends and weekdays?,O B-TRANSPORT B-FARE O O O B-TIME O B-TIME,
How much is the jeepney fare for children below 5 years old?,O O O O B-TRANSPORT B-FARE O B-COMMUTER O O O O,
What is the standard fare for public utility jeepneys?,O O O O B-FARE O O O B-TRANSPORT,
Is the fare higher for express jeepney services?,O O B-FARE O O O B-TRANSPORT O,
Do jeepney fares change during holidays?,O B-TRANSPORT B-FARE O O O,
what's the price of a ride on a modern jeepney?,O O O B-FARE O O B-ACTIVITY O O B-TRANSPORT I-TRANSPORT,
Is there a different fare for provincial jeepneys?,O O O O B-FARE O O B-TRANSPORT,
How much do I pay for a jeepney ride from the market to the hospital?,O O O O B-FARE O O B-TRANSPORT O O O B-ORIGIN O O B-DESTINATION,
Tell me the cost of a jeepney ride from the terminal to the bus station.,O O O B-FARE O O B-TRANSPORT O O O B-ORIGIN O O B-DESTINATION I-DESTINATION,
What is the fare adjustment for fuel price hikes?,O O O B-FARE O O O O O,
Do students get a fare discount on weekends?,O B-COMMUTER O O B-FARE B-DISCOUNT O B-TIME,
How much is the fare if I ride a jeepney after midnight?,O O O O B-FARE O O O O B-TRANSPORT O B-TIME,
Is there a surcharge for long-distance jeepney routes?,O O O B-FARE O B-DISTANCE B-TRANSPORT I-TRANSPORT,
Do senior citizens need an ID to avail of the fare discount?,O B-COMMUTER I-COMMUTER O O O O O O O B-FARE B-DISCOUNT,
What is the jeepney fare for a 15-kilometer ride?,O O O B-TRANSPORT B-FARE O O B-DISTANCE O ,
Tell me the rate for an intercity jeepney ride.,O O O B-FARE O O O B-TRANSPORT O,
How much do I pay if I transfer from one jeepney to another?,O O O O B-FARE O O O O O B-TRANSPORT O O,
Are fares different for diesel and electric jeepneys?,O B-FARE O O O O O B-TRANSPORT,
What is the updated fare for traditional jeepneys?,O O O O B-FARE O O B-TRANSPORT,
Do fare discounts apply to all jeepney operators?,O B-FARE B-DISCOUNT O O O B-TRANSPORT O,
Tell me the cost of taking a jeepney to the ferry terminal.,O O O B-FARE O O O B-TRANSPORT O O O B-DESTINATION,
Do I need to pay extra if I ride with large bags?,O O O O B-FARE O O O O O O O,
How much does a night jeepney route charge?,O O O O B-TIME B-TRANSPORT O B-FARE,
what's the maximum fare I can expect for the longest route?,O O O B-FARE I-FARE O O O O O O O,
How much is the fare for a tourist jeepney?,O O O O B-FARE O O B-COMMUTER B-TRANSPORT,
Is there a different fare for chartered jeepneys?,O O O O B-FARE O O B-TRANSPORT,
How much does a special trip jeepney charge?,O O O O O O B-TRANSPORT B-FARE,
Tell me the cost of a one-way ride on a public jeepney.,O O O B-FARE O O O B-ACTIVITY O O B-TRANSPORT I-TRANSPORT,
What is the fare for a direct trip with no stopovers?,O O O B-FARE O O O O O O O,
Do fare discounts apply during summer breaks?,O B-FARE I-FARE O O B-TIME O,
Is there a penalty for not paying the correct fare?,O O O O O O O O O B-FARE,
what's the charge for carrying pets on a jeepney?,O O O B-FARE O O O O O B-TRANSPORT,
How much does the city's public fare regulation affect jeepneys?,O O O O O O O B-FARE O O B-TRANSPORT,
Is the fare standard across all jeepney franchises?,O O B-FARE O O O B-TRANSPORT O,
How much is the jeepney fare from Daraga to Legazpi City?,O O O O B-TRANSPORT B-FARE O B-ORIGIN O B-DESTINATION I-DESTINATION,
What's the fare from Legazpi Grand Terminal to Embarcadero?,O O O B-FARE O B-ORIGIN I-ORIGIN I-ORIGIN O B-DESTINATION,
Tell me the cost of a jeepney ride from LCC Mall to Pacific Mall.,O O O B-FARE O O B-TRANSPORT O O B-ORIGIN B-ORIGIN O B-DESTINATION I-DESTINATION ,
Is there a senior citizen discount for jeepney fares in Legazpi?,O O O B-COMMUTER I-COMMUTER B-DISCOUNT O B-TRANSPORT B-FARE O B-LOCATION,
Do PWDs get fare discounts on Legazpi jeepneys?,O B-COMMUTER O B-FARE I-FARE O B-LOCATION B-TRANSPORT,
What's the cost of a jeepney ride from Bicol University to SM Legazpi?,O O O B-FARE O O B-TRANSPORT O O B-ORIGIN I-ORIGIN O B-DESTINATION I-DESTINATION ,
How much do I need to pay for a trip from Legazpi City to Albay Cathedral?,O O O O O O B-FARE O O O O B-ORIGIN I-ORIGIN O B-DESTINATION I-DESTINATION ,
What's the regular fare for a jeepney ride from Legazpi Terminal to Rawis?,O O O O B-FARE O O B-TRANSPORT B-ACTIVITY O B-ORIGIN I-ORIGIN O B-DESTINATION,
How much does a ride from Legazpi Port District to Daraga cost?,O O O O O O B-ORIGIN I-ORIGIN I-ORIGIN O B-DESTINATION B-FARE,
Do I pay extra if I bring luggage on a jeepney in Legazpi?,O O B-FARE O O O O O O O B-TRANSPORT O B-LOCATION,
Is there a different fare for modern jeepneys in Legazpi?,O O O O B-FARE O B-TRANSPORT I-TRANSPORT O B-LOCATION,
Tell me the cost of a jeepney ride from Legazpi to Tabaco.,O O O B-FARE O O B-TRANSPORT O O B-ORIGIN O B-DESTINATION ,
Are fares the same for all routes within Legazpi City?,O B-FARE O O O O B-ROUTE O B-LOCATION I-LOCATION,
What's the fare for a ride from Legazpi City Hall to Penaranda Park?,O O O B-FARE O O O O B-ORIGIN I-ORIGIN I-ORIGIN O  B-DESTINATION I-DESTINATION,
How much should I prepare for a trip from Legazpi City to Bacacay?,O O O O O O O O O B-ORIGIN I-ORIGIN O B-DESTINATION,
Tell me the cost of a trip from the university belt to SM Legazpi.,O O O B-FARE O O O O O B-ORIGIN I-ORIGIN O  B-DESTINATION I-DESTINATION,
Do jeepneys in Legazpi charge extra for night trips?,O B-TRANSPORT O B-LOCATION B-FARE O O B-TIME O,
Are jeepney fares different on Sundays in Legazpi?,O B-TRANSPORT B-FARE O O B-TIME O B-LOCATION,
How much is the fare from Legazpi Grand Terminal to Washington Drive?,O O O O B-FARE O B-ORIGIN B-ORIGIN B-ORIGIN O B-DESTINATION I-DESTINATION,
How much do students pay for a ride from Daraga to BU?,O O O B-COMMUTER B-FARE O O O O B-ORIGIN O B-DESTINATION,
Are fares higher for modernized jeepneys in Legazpi?,O B-FARE O O B-TRANSPORT I-TRANSPORT O B-LOCATION,
What's the cheapest way to get around Legazpi using jeepneys?,O O O O O O O O B-LOCATION O B-TRANSPORT,
How much should I pay if I ride a jeepney from Legazpi to Sto. Domingo?,O O O O B-FARE O O O O B-TRANSPORT O B-ORIGIN O  B-DESTINATION I-DESTINATION,
Are there fare increases during typhoon season in Legazpi?,O O B-FARE O O O O O B-LOCATION,
Tell me the fare from Legazpi Terminal to the Sleeping Lion Hill.,O O O B-FARE O B-ORIGIN I-ORIGIN O O B-DESTINATION I-DESTINATION I-DESTINATION ,
How much is the fare from Albay Astrodome to Penaranda Park?,O O O O B-FARE O B-ORIGIN B-ORIGIN O  B-DESTINATION I-DESTINATION ,
What's the standard jeepney fare in Albay?,O O O O B-TRANSPORT B-FARE O B-LOCATION,
How much do I pay if I ride from Legazpi Boulevard to the Legazpi Port?,O O O O B-FARE O O O O B-ORIGIN B-ORIGIN O O B-DESTINATION I-DESTINATION ,
Is there an extra charge for stopping at non-designated areas in Legazpi?,O O O O B-FARE O O O O O O B-LOCATION,
How much is the fare from SM Legazpi to the Southern Luzon Technological College?,O O O O B-FARE O B-ORIGIN I-ORIGIN O O B-DESTINATION I-DESTINATION I-DESTINATION I-DESTINATION,
Do Legazpi jeepneys offer fare discounts to indigent individuals?,O B-LOCATION B-TRANSPORT O B-FARE B-DISCOUNT O O B-COMMUTER,
Tell me the cost of a jeepney ride from Legazpi to Manito.,O O O  B-FARE O O B-TRANSPORT B-ACTIVITY O B-ORIGIN O B-DESTINATION ,
Do fare discounts apply during fiesta season in Legazpi?,O B-FARE B-DISCOUNT O O O O O B-LOCATION,
Can I book a shuttle directly from my home?,O O O O B-TRANSPORT O O B-ORIGIN I-ORIGIN,
Are there transport options specifically for disabled passengers?,O O B-TRANSPORT I-TRANSPORT O O B-COMMUTER I-COMMUTER,
Can I use a hybrid ride-hailing app for different transport modes?,O O O O B-TRANSPORT I-TRANSPORT I-TRANSPORT O O B-TRANSPORT I-TRANSPORT,
Are there walkable routes suggested in transport apps?,O O B-ROUTE I-ROUTE O O B-TRANSPORT I-TRANSPORT,
Are there transport hubs that connect all modes efficiently?,O O B-TRANSPORT I-TRANSPORT O O O B-TRANSPORT O,
Can I use a train pass for regional buses as well?,O O O O B-FARE I-FARE O B-TRANSPORT I-TRANSPORT O O ,
How much is the surcharge for carrying cargo on a jeepney in Legazpi?,O O O O B-FARE O O B-CONDITION O O B-TRANSPORT O B-LOCATION,
what's the fare if I travel from Legazpi to Naga?,O O O B-FARE O O O O B-ORIGIN O B-DESTINATION,
Are fares different for Daraga-bound and Legazpi-bound jeepneys?,O B-FARE O O B-DESTINATION O B-DESTINATION B-TRANSPORT,
Tell me the fare from Penaranda Park to Bicol University.,O O O B-FARE O B-ORIGIN I-ORIGIN O B-DESTINATION I-DESTINATION,
what's the rate for a one-way jeepney ride from Legazpi to Tabaco?,O O O B-FARE O O B-CONDITION B-TRANSPORT I-TRANSPORT O B-ORIGIN O B-DESTINATION,
Are jeepney fares different for locals and tourists in Legazpi?,O B-TRANSPORT B-FARE O O B-COMMUTER O B-COMMUTER O B-LOCATION,
How much does a night trip from Daraga to Legazpi cost?,O O O O B-TIME O O B-ORIGIN O B-DESTINATION B-FARE,
Tell me the fare for a long-distance jeepney ride in Albay.,O O O B-FARE O O B-CONDITION B-TRANSPORT I-TRANSPORT O B-LOCATION,
How much is the additional charge for riding past the minimum fare distance?,O O O O B-FARE I-FARE O O O O B-FARE I-FARE I-FARE,
Are there government-regulated fare caps for Legazpi jeepneys?,O O B-FARE I-FARE I-FARE O B-LOCATION B-TRANSPORT,
what's the penalty for non-payment of fare on a Legazpi jeepney?,O O O B-FARE O B-FARE O I-FARE O O B-LOCATION I-TRANSPORT,
Tell me the fare for a direct trip from Legazpi to Bacacay.,O O O B-FARE O O B-CONDITION O O B-ORIGIN O B-DESTINATION,
Do students get discounts on all public transport in Legazpi?,O B-COMMUTER O B-FARE O O B-TRANSPORT I-TRANSPORT O B-LOCATION,
Can you tell me the best route to the city center?,O O O O O B-ROUTE I-ROUTE O O B-DESTINATION I-DESTINATION,
What's the fastest route to the train station?,O O O B-ROUTE I-ROUTE O O B-DESTINATION I-DESTINATION,
How do I get to the airport from here?,O O O O O O B-DESTINATION O B-ORIGIN,
Give me directions to the nearest hospital.,O O B-ROUTE O O B-DESTINATION I-DESTINATION,
How can I reach the university by bus?,O O O O O B-DESTINATION O B-TRANSPORT,
Show me the route to the beach.,O O O B-ROUTE O O B-DESTINATION,
How do I get to the museum by metro?,O O O O O O B-DESTINATION O B-TRANSPORT,
What's the easiest way to reach the old market?,O O O B-ROUTE I-ROUTE O O O B-DESTINATION I-DESTINATION,
Find me a route to the park.,O O O B-ROUTE O O B-DESTINATION,
Tell me how to reach the local library.,O O O O O O B-DESTINATION I-DESTINATION,
What's the best way to get to the theater?,O O O B-ROUTE I-ROUTE O O O O B-DESTINATION,
Can you give me the route to the cultural center?,O O O O O B-ROUTE O O B-DESTINATION I-DESTINATION,
How can I get to the airport express terminal?,O O O O O O B-DESTINATION I-DESTINATION I-DESTINATION,
What's the route to the city museum?,O O O B-ROUTE O O B-DESTINATION I-DESTINATION,
Find me a route to the botanical garden.,O O O B-ROUTE O O B-DESTINATION I-DESTINATION,
Show me the best way to the concert hall.,O O O B-ROUTE I-ROUTE O O B-DESTINATION I-DESTINATION,
How do I get to the closest pharmacy?,O O O O O O B-DESTINATION I-DESTINATION,
How can I reach the nearest shopping district?,O O O O O B-DESTINATION I-DESTINATION I-DESTINATION,
Can you tell me how to get to the post office?,O O O O O O O O O B-DESTINATION I-DESTINATION,
How do I navigate to the nearest metro station?,O O O O O O B-DESTINATION I-DESTINATION I-DESTINATION,
How do I reach the convention center?,O O O O O B-DESTINATION I-DESTINATION,
Show me the path to the main square.,O O O B-ROUTE O O B-DESTINATION I-DESTINATION,
